SuperordinateSchema;LinguisticExamples;[SOURCE]
OBJECT;Quelques mois aprés qu'il eut pris sa retraite, sa femme mourut;L'autre
CENTER-PERIPHERY ;Il s'appuyait prés du télephone...;L'autre
CONTAINMENT;Mais il ne pouvait pas se décider à quitter la maison, cette enveloppe de sa vie.;L'autre
FORCE;...et comme si le vent poussait son ballon...;L'autre
SCALE;...elle lui montrait combien son plaisir lui faisit plaisir.;L'autre
OBJECT;...il prenait de plaisir à sa beauté.;L'autre
OBJECT;Il se faisait des reproches...;L'autre
PATH;...et parvenir avec lui à une décision.;L'autre
PART-WHOLE;Il reconstituait le souvenir morceau par moreceau et ne trouvait rien de frappant.;L'autre
CENTER-PERIPHERY ;Ils étaient aussi proches l'un de l'autre que toujours;L'autre
PATH;Il lui revint à l'esprit;L'autre
OBJECT;S'etait-il fait des illusions?;L'autre
CONTAINMENT;Il avait souvent un sentiment de vide...;L'autre
SCALE;...alors que nous aurions pu le laisser croitre et fleurir.;L'autre
CONTAINMENT;...qui jouait dans ma ville.;L'autre
CONTACT;...elle se blottissait contre lui...;L'autre
PART-WHOLE;Mais qu'est-ce qui aurait pu manquer?;L'autre
PATH;...il en était venu à la certitude...;L'autre
CONTAINMENT;C'etait comme dans une maladie.;L'autre
CONTACT;...que les magasins s'alignaient les uns à côté des autres...;L'autre
PATH;...il allait devoir recommencer à zéro le processus de guérison.;L'autre
CONTAINMENT;...et de la lumière dans tes yeus;À peu près, Pomme
SCALE;C'en est assez des amours blêmes;À peu près, Pomme
CONTAINMENT;Je suis cachée au bord des larmes;Anxiété, Pomme
VERTICALITY;Ne regardez jamais en bas;Soleil, soleil, Pomme
SCALE;Elle avait l'air plus grande;Pauline, Pomme
PART-WHOLE;... le titre de l’un des morceaux de son premier album.;https://www.vice.com/fr/article/qv37kq/lorigine-du-slogan-all-cops-are-bastards
CENTER-PERIPHERY ;Sa tête est au centre de la mosaïque...;https://www.vice.com/fr/article/qvxwax/meduse-ou-la-colere-des-femmes
CONTACT;on établit un lien avec les autres ...;https://www.vice.com/fr/article/xgz8zz/linterdiction-de-danser-sante-mentale
CENTER-PERIPHERY ;Message à tous mes lointain cousins...;Défaite de famille, Orelsan
PATH;Après avoir fait l'tour de monde...;La terre est ronde, Orelsan
CENTER-PERIPHERY ;Aujourd'hui, je suis tres loin de ce matin d'automne;L'été indien, Joe Dassin
VERTICALITY;au soleil, sous la pluie... il y a tout ce que vous voulez;Les Champs-Élysées, Joe Dassin
SCALE;le temps m'a paru très long;Salut, Joe Dassin
VERTICALITY;...siffler là-haut sur la colline;siffler sur la colline, Joe Dassin 
VERTICALITY; Sous le pont de Bercy un philosophe assis...;Sous le ciel de Paris, Yves Montand
FORCE;Je dirige la caméra d'un film;Attrape-rêve, Polo & Pan
CONTACT;Les anges me caressent;Cool Colorado, La Femme
CONTACT;J'suis touché ma reine;Tombé, M. Pokora
VERTICALITY;Malgre les hauts, les bas, je sais m'accorder;Jusqu'ici tout va vien, Maître Gims
FORCE;Et si c'était un coup du sort?;Jusqu'ici tout va vien, Maître Gims
SCALE;Qu'est notre grand amour;Quand on n'a que l'amour, Jacques Brel
FORCE;...et forcer le destin;Quand on n'a que l'amour, Jacques Brel
FORCE;et Paris qui bat la mesure;La vallse à mille temps, Jacques Brel